------- 1 - Términos	BI2024
contaminación por partículas	particulate contamination	BI2024
partículas 	particulate matter	BI2024
coeficiente de reparto 	partition coefficient	BI2024
partes por millón 	parts per million 	BI2024
longitud de recorrido	path length	BI2024
patógeno	pathogen	BI2024
patogenia	pathogenesis	BI2024
patogénico	pathogenic	BI2024
trastornos hipersecretorios patológicos	pathological hypersecretory conditions	BI2024
fisiopatología	pathophysiology	BI2024
grupos de análisis de pacientes	patient analysis sets	BI2024
folleto para el paciente	patient information leaflet	BI2024
años-paciente	patient-years	BI2024
área del pico	peak area	BI2024
respuesta del área del pico	peak area response	BI2024
flanco del pico	peak flank	BI2024
concentraciones máximas	peak levels	BI2024
resolución del pico	peak resolution 	BI2024
coeficiente de correlación de Pearson	Pearson correlation coefficient	BI2024
molino de paletas	peg mill 	BI2024
gránulo	pellet	BI2024
penicilina	penicillin-streptomycin [pen/strep]	BI2024
estreptomicina 	penicillin-streptomycin [pen/strep]	BI2024
pentobarbital sódico	pentobarbital sodium	BI2024
aceite esencial de menta piperita	peppermint oil	BI2024
pepstatina	pepstatin	BI2024
por vía oral [v.o.]	per os [p.o.]	BI2024
porcentaje de materiales finos	percent fines	BI2024
percentil	percentile	BI2024
intervención coronaria percutánea	percutaneous coronary intervention	BI2024
rinitis alérgica	perennial rhinitis	BI2024
bomba de perfusión	perfusion pump	BI2024
Informe Periódico de Seguridad	Periodic Safety Update Report	BI2024
períodos de inactividad	periods of nonuse	BI2024
períodos de inactividad	periods of non-use	BI2024
períodos de inactividad	non-use period	BI2024
sangre periférica	peripheral blood	BI2024
estudio de permeabilidad	permeability study	BI2024
peroxidasa	peroxidase	BI2024
peróxido	peroxide	BI2024
perpetrador	perpetrator	BI2024
análisis por protocolo	per-protocol analysis	BI2024
persistir	persist	referido a síntomas)	BI2024
personal interviniente 	personnel involved	BI2024
placa de Petri	Petri dish	BI2024
glycoproteína P	P-glycoprotein	BI2024
ratas con glycoproteína P inhibida	P-glycoprotein inhibited rats	BI2024
peachímetro	pH meter	BI2024
ajustar a un determinado pH	pH-adjusted	BI2024
Convención de Inspección Farmacéutica	Pharmaceutical Inspection  Convention	BI2024
producto farmacéutico	pharmaceutical product	BI2024
farmacodinámica	pharmacodynamic	BI2024
farmacodinamia	pharmacodynamics	BI2024
datos farmacocinéticos	pharmacokinetic data	BI2024
parámetros farmacocinéticos 	pharmacokinetic parameters	BI2024
farmacocinética	pharmacokinetics	BI2024
perfil farmacológico	pharmacology profiling	BI2024
calidad farmacopeica	pharmacopoeial	BI2024
ensayo clínico de fase I	phase I clinical trial	BI2024
solubilidad dependiente del pH	pH-dependent solubility	BI2024
fracción de fenol	phenol moiety	BI2024
fenolftaleína	phenolphthalein	BI2024
fenilalanina	phenylalanine	BI2024
fenilcetonuria 	phenylketonuria 	BI2024
solución salina amortiguadora de fosfatos	phosphate buffered saline	BI2024
inhibidor de la fosfodiesterasa-4 	phosphodiesterase-4 inhibitor	BI2024
receptor fosforilado del factor de crecimiento epidérmico 	phosphorylated epidermal growth factor receptor 	BI2024
matriz de fotodiodos 	photodiode array	BI2024
barrido espectral de matriz de fotodiodos	photodiode array spectral scanning	BI2024
fotoinducción	photo-induction	BI2024
factor de fotoirritación	photo-irritation factor	BI2024
fotolitos	photoliths	BI2024
determinación fotométrica	photometric determination	BI2024
fotoestabilidad	photostability	BI2024
prueba de fotoestabilidad	photostability testing	BI2024
sometido a condiciones extremas de luz	photostressed	BI2024
parámetros físico-químicos  	physical and chemical parameters	BI2024
prueba física	physical test	BI2024
perforadora	piercing device	BI2024
dolor punzante	piercing pain	BI2024
mezcla de pigmentos	pigment blend	BI2024
tapa inviolable 	pilfer-proof cap	BI2024
píldora	pill	BI2024
piloerección	piloerection	BI2024
pioglitazona	pioglitazone	BI2024
piperidina	piperidine	BI2024
pipetear 	pipette	BI2024
estudio pivote	pivotal study	BI2024
comparativo con placebo	placebo controlled 	referido a estudios clínicos)	BI2024
placebo del mismo aspecto que la linagliptina 	placebo matching linagliptin	BI2024
unidades formadoras de placa	plaque-forming units	BI2024
esterasas hepáticas y plasmáticas	plasma and hepatic esterases	BI2024
transportador de monoaminas por la membrana plasmática	plasma Membrane Monoamine Transporter	BI2024
plastificante	plasticizer	de un comprimido)	BI2024
método de incorporación en placa	plate incorporation method	BI2024
meseta	plateau	de una curva)	BI2024
meseta de eficacia	plateau level of effectiveness 	BI2024
agregación plaquetaria	platelet aggregation	BI2024
receptor del factor de crecimiento derivado de plaquetas	platelet derived growth factor receptor	BI2024
plasma con escasas plaquetas 	platelet-poor plasma 	BI2024
plasma rico en plaquetas	platelet-rich plasma	BI2024
preparación de cultivos en placas	plating	BI2024
pletismografía	plethysmography	BI2024
plexos coroideos	plexus choroideus	BI2024
émbolo	plunger rod	de una jeringa)	BI2024
descargador neumático móvil	pneumatic mobile exit	BI2024
p-nitrofenilfosfato	p-nitrophenylphosphate	BI2024
mutación puntual	point mutation	BI2024
puntos por segundo	points per second [pt/sec]	BI2024
filtro polarizador	polarized light filter	BI2024
pulido	polishing	referido a comprimidos)	BI2024
polietileno	polyethylene	BI2024
bolsas de polietileno con precintos 	polyethylene bags with binders 	BI2024
cierre inviolable de polietileno	polyethylene evident closure	BI2024
polietilenglicol	polyethylene glycol	BI2024
bolsa Whirl-Pak de polietileno para toma de muestras 	polyethylene Whirl-Pak sample bag	BI2024
caracterización de polimorfos	polymorphism screening	BI2024
polimorfos	polymorphs	BI2024
poliol	polyol	BI2024
polioximetileno	polyoxymethylene	BI2024
oligómeros de polipropileno 	polypropylene oligomers 	BI2024
polisorbato	polysorbate	BI2024
polisorbato 20 	polysorbate 20 	BI2024
poliestireno	polystyrol	BI2024
policloruro de vinilo	polyvinyl chloride	BI2024
lámina cavitada de policloruro de vinilo	polyvinyl chloride forming foil	BI2024
lámina cavitada de PVC 	PVC forming foil	BI2024
lámina transparente de policloruro de vinilo	polyvinyl chloride transparent foil	BI2024
lámina transparente de PVC 	PVC transparent foil 	BI2024
mezcla / unión / conjunto / grupo	pool	BI2024
reserva	pool	BI2024
depósito	pool	BI2024
análisis conjunto	pooled analysis	BI2024
solución conjunta 	pooled solution	BI2024
platillo de porcelana 	porcelain dish	BI2024
tamaño del poro	pore size	BI2024
agente formador de poros 	pore-forming agent	BI2024
filtro de inmersión de vidrio sinterisado de porosidad G2	porosity G2 sintered glass immersion filter 	BI2024
prueba de precipitación positiva	positive precipitation test	BI2024
índice positivo de riesgo/beneficio	positive risk/benefit ratio	BI2024
Protocolo de estabilidad y compromisos de estabilidad posteriores a la aprobación	Post-Approval Stability Protocol and Stability Commitment	BI2024
período posterior al tratamiento	post-treatment period	BI2024
yoduro de potasio	potassium iodide	BI2024
fosfato monobásico de potasio	potassium-dihydrogen phosphate	BI2024
impurezas potenciales	potential impurities 	BI2024
valoración potenciométrica	potentiometric titration	BI2024
método potenciométrico	potentiometric titration method	BI2024
povidona	povidone	BI2024
flujo del polvo	powder flow	BI2024
precipitar	precipitate	BI2024
placa de precipitación	precipitation plate	BI2024
precisión	precision	BI2024
preclínico/a	preclinical 	referido a estudios clínicos)	BI2024
asintomático/a	preclinical 	referido a una enfermedad)	BI2024
ion precursor	precursor ion	en espectrometría de masas)	BI2024
ion precursor	progenitor ion	en espectrometría de masas)	BI2024
ion precursor	parent ion	en espectrometría de masas)	BI2024
intervalo de predicción	prediction interval	referido a estadística)	BI2024
previo al ejercicio	pre-exercise	BI2024
término preferente	preferred term	referido al MedDRA)	BI2024
jeringa prellenada	pre-filled syringe	BI2024
jeringa prellenada	prefilled syringe	BI2024
pregelatinizado	pregelatinized	BI2024
método de preincubación	preincubation method	BI2024
antes de la dosis matutina	pre-morning dose	BI2024
prellenada	pre-packed	referido a la columna de HPLC)	BI2024
cómo preparar la toma	preparing the feed	BI2024
volumen previo a la ejecución	pre-run volume	BI2024
receta	prescription	BI2024
prescripción médica	prescription	BI2024
conservante	preservative 	BI2024
solución para inhalación con conservantes	preserved inhalation solution	BI2024
prensa	pressing tool	BI2024
caída de presión	pressure drop	BI2024
aerosol presurizado	pressurized aerosol	BI2024
valor inicial previo al tratamiento	pre-treatment baseline	BI2024
pacientes con tratamiento previo	previously treated patients	BI2024
criterio de valoración primario 	primary endpoint	BI2024
criterio de valoración primario 	primary end-point	BI2024
criterio de valoración primario 	primary outcome measure	BI2024
acondicionamiento primario	primary packaging	BI2024
componentes del acondicionamiento primario	primary packaging components	BI2024
estudios de estabilidad primaria	primary stability studies	BI2024
prevención primaria de la tromboembolia venosa 	primary venous thromboembolism prevention 	BI2024
cebar	prime	BI2024
limpiar 	prime	BI2024
distribución probabilística 	probability distribution	BI2024
controles del proceso	process controls	BI2024
datos del proceso	process data	BI2024
ingeniería de procesos 	process engineering	BI2024
impureza resultante del proceso	process impurity	BI2024
Calificación del funcionamiento del proceso	Process Performance Qualification	BI2024
esquema de validación del proceso	process validation scheme	BI2024
coadyuvante de elaboración	processing aid	BI2024
método de procesamiento	processing method	BI2024
profármaco	prodrug	BI2024
identificación de la composición del producto	product composition identification	BI2024
ficha técnica	product data sheet	BI2024
ficha técnica	product documentation sheet	BI2024
prospecto	product leaflet	BI2024
prospecto	product insert 	BI2024
línea celular de producción 	production cell line	BI2024
cultivo de producción	production culture	BI2024
vías profibróticas	pro-fibrotic pathways	BI2024
citocinas proinflamatorias 	proinflammatory cytokines 	BI2024
vías proinflamatorias  	pro-inflammatory pathways	BI2024
proliferación de microorganismos	proliferation of microorganisms	BI2024
sin propelentes	propellant-free	BI2024
Propiedad de Boehringer lngelheim - Confidencial	Property of Boehringer Ingelheim - treat confidentially	BI2024
criterios de aceptación propuestos 	proposed acceptance criteria	BI2024
proceso de fabricación comercial propuesto	proposed commercial manufacturing process	BI2024
Información confidencial protegida por derechos de propiedad intelectual. © 2024 Boehringer Ingelheim International GmbH o sus empresas afiliadas. Todos los derechos reservados.	Proprietary confidential information. Copyright 2009 Boehringer Ingelheim International GmbH or one or more of its affiliated companies. All rights reserved.	BI2024
propilenglicol 	propylene glycol	BI2024
hidroxibenzoato de propilo	propylhydroxybenzoate	BI2024
envase protector	protective packaging 	BI2024
interacciones de desplazamiento durante la unión a las proteínas	protein binding displacement interactions	BI2024
concentración de proteínas por barrido UV	protein concentration by UV-scan	BI2024
fragmento de protrombina	prothrombin fragment	BI2024
tiempo de protrombina	prothrombin time	BI2024
inhibidor de la bomba de protones	proton pump inhibitor	BI2024
correlación heteronuclear de enlaces múltiples entre protones y carbono	proton-carbon heteronuclear multiple-bond correlation	BI2024
Índice de la severidad del área de psoriasis pustulosa generalizada [GPPASI 75]	Psoriasis Area and Severity Index for Generalized Pustular Psoriasis [GPPASI 75]	BI2024
puntuación de la Escala de síntomas de psoriasis	Psoriasis Symptom Scale score	BI2024
puntuación de la Escala de síntomas de psoriasis	PSS score	BI2024
fecha de muestreo	pull date	BI2024
embolia pulmonar	pulmonary embolism	BI2024
examen de la función pulmonar	pulmonary function testing	BI2024
medicación pulmonar	pulmonary medication	BI2024
pulpa	pulp	BI2024
ancho del pulso	pulse width	BI2024
bomba	pump	BI2024
velocidad de bombeo	pump rate	BI2024
punzón	punch surface	BI2024
orden de compra	purchase order	BI2024
agua purificada	purified water	BI2024
blíster de apertura a presión	push-through blister	BI2024
aclaramiento pustular 	pustular clearance	BI2024
subpuntuación de pustulación 	pustulation sub score 	BI2024
clorhidrato de piridoxina	pyridoxine hydrochloride	BI2024
pirólisis	pyrolysis	BI2024
piruvato	pyruvate	BI2024
personal idóneo	qualified person	BI2024
director técnico	qualified person	si se tiene esa información)	BI2024
composición cuali-cuantitativa	qualitative and quantitative composition	BI2024
Gestión de Registros y Gestión de Calidad	Quality and Records Management	Quality and Records Management) 	BI2024
aseguramiento de la calidad	quality assurance	BI2024
control de calidad	quality control	BI2024
Gestión de calidad	Quality Management	Quality Management)	BI2024
límite de cuantificación	quantitation limit	BI2024
cuantitativo	quantitative	BI2024
composición cuantitativa	quantitative composition	BI2024
cuádruple   	quartet  	referido a espectroscopía)	BI2024
quinazolina	quinazoline	BI2024
sector de soporte	rack section	BI2024
pureza radioquímica	radiochemical purity	BI2024
radiomarcado	radiolabelled	BI2024
radioligando	radioligand	BI2024
tasa de calentamiento	ramp	cromatografía)	BI2024
estudio clínico aleatorizado	randomised clinical study	BI2024
estudio clínico aleatorizado	randomized clinical study	BI2024
rango	range 	BI2024
correlación por rangos	rank order correlation	BI2024
evaluador rápido de humedad	rapid moisture tester	BI2024
enfermedad rara	rare disease	BI2024
tamiz de rejilla	rasp screen	BI2024
rata	rat	BI2024
polímero que controla la velocidad de liberación	rate controlling polymer	BI2024
relación señal	ratio signal	BI2024
ruido	noise	BI2024
datos preliminares	raw data 	BI2024
archivo de datos preliminares	raw data storage 	BI2024
materia prima	raw materials	BI2024
reacción de sulfatos	reaction of sulphates	BI2024
velocidad de reacción	reaction rate	BI2024
metabolitos intermedios reactivos	reactive metabolite intermediates	BI2024
paso de lectura	read step	BI2024
paso de lectura	reading step	BI2024
sustancias fácilmente carbonizables	readily carbonisable substances	BI2024
bolsas de infusión listas para usar 	ready to use infusion bags	BI2024
reaireación	reaeration	referido a un compuesto)	BI2024
criar	rear	BI2024
programa de renovación de imagen	rebranding program	BI2024
análisis de fijación a receptores	receptor binding assay	BI2024
cantidades diarias recomendadas	recommended daily allowance	BI2024
dosis recomendada	recommended dose	BI2024
tiempo de reacondicionamiento 	reconditioning time 	BI2024
tiempo de reconsitución	reconstitution time	BI2024
cuaderno de registros	records log book	BI2024
recuperación [recup.]	recovery [recov.]	BI2024
identificación, búsqueda, selección e incorporación	recruitment	de los sujetos para participar en un estudio clínico)	BI2024
objetivo de inclusión	recruitment goal	referido a los sujetos de un estudio clínico)	BI2024
plazo de inclusión	recruitment period	BI2024
período de inclusión	recruitment period	referido a los sujetos de un estudio clínico)	BI2024
brotes agudos recurrentes 	recurring flares	BI2024
glóbulos rojos	red blood cells	BI2024
masa eritrocitaria	red cell mass	BI2024
óxido de hierro rojo	red iron oxide	BI2024
castaño rojizo	red-brown	BI2024
enrojecimiento	redness	BI2024
etapas de reducción – carboximetilación	reducing – carboxymethylation steps	referido al almacenamiento de las muestras) 	BI2024
agente de reducción	reducing agent	BI2024
carretel	reel	de un rollo)	BI2024
tiempo de reequilibrado	re-equilibration time	BI2024
espectro de referencia	reference spectrum	BI2024
estándar de referencia 	reference standard 	BI2024
sustancia de referencia	reference substance	BI2024
reflujo esofágico	reflux oesophagitis	BI2024
índice de refracción	refractive index	BI2024
refrigerador	refrigerator	BI2024
isómero posicional	regioisomer	BI2024
registrar	register	un producto)	BI2024
sede social	registered office	de la compañía)	BI2024
especificación analítica para registro	registration testing specification	BI2024
regresión	regression	en estadística)	BI2024
Asuntos Regulatorios	Regulatory Affairs	BI2024
eliminación relativa	relative excretion	BI2024
humedad relativa [h.r.]	relative humidity [r.h.]	BI2024
humedad relativa	relative humidity	BI2024
tiempo de retención relativo	relative retention time	BI2024
desviación estándar relativa	relative standard deviation	BI2024
volumen relativo [vol. rel.]	relative volume [V rel]	BI2024
liberar	release 	por ejemplo, partidas)	BI2024
polímero que controla la velocidad de liberación	release-controlling polymer	BI2024
deterioro renal	renal impairment	BI2024
repetibilidad	repeatability	BI2024
estudio de dosis repetidas	repeat-dose study	BI2024
análisis de repetibilidad	repeatibility testing	BI2024
informe	report	BI2024
resultado que debe informarse	reportable result	BI2024
nivel de informe	reporting level 	BI2024
umbral de informe	reporting threshold	BI2024
reproducibilidad	reproducibility	BI2024
medicación de rescate	rescue medication	BI2024
grado de investigación	research grade	BI2024
catalizador residual	residual catalyst	BI2024
humedad residual	residual moisture	BI2024
disolventes residuales	residual solvents	BI2024
desviación estándar residual	residual standard deviation	BI2024
suma de los cuadrados debidos al error	residual sum of squares	BI2024
residuo de ignición	residue on ignition	BI2024
mutación de resistencia 	resistance mutation	BI2024
an infection)	resolve	se resuelve (una infección)	BI2024
resonancia	resonance	BI2024
mecanismo de cierre Respimat	Respimat locking mechanism	BI2024
Respimat Soft Mist	Respimat Soft Mist	BI2024
ritmo respiratorio	respiration rate	BI2024
volumen respiratorio	respiration volume	BI2024
vías respiratorias	respiratory tract	BI2024
infección respiratoria 	respiratory tract infection	BI2024
sensibilidad	responsiveness	a un medicamento)	BI2024
dolor en reposo	rest pain	BI2024
picos restantes	rest peaks	BI2024
gasto energético en reposo	resting energy expenditure	BI2024
potencial de membrana en reposo	resting membrane potential 	BI2024
máxima similitud restringida	restricted maximum likelihood	BI2024
código de identificación del resultado	result identification	BI2024
código de identificación del resultado	result-ID	BI2024
e.g.: dosing should be resumed)	resume	reanudar (por ejemplo: la administración debe reanudarse)	BI2024
retraso	retardation	BI2024
tiempo de retención	retention time  	BI2024
período de repetición del análisis 	re-test period	BI2024
período de repetición del análisis 	retest period	BI2024
período de repetición del análisis 	retesting period	BI2024
reticulosarcoma	reticulum cell sarcoma	BI2024
estudio retrospectivo de cohortes	retrospective cohort study	BI2024
agua obtenida por ósmosis inversa	reverse osmosis water	BI2024
fase reversa	reverse phase 	en cromatografía)	BI2024
método de gradiente de fase reversa	reverse-phase gradient method	en cromatografía)	BI2024
inhibidor reversible	reversible inhibitor	BI2024
rabdomiólisis	rhabdomyolysis	BI2024
riboflavina	riboflavin	BI2024
ácido ribonucleico 	ribonucleic acid 	BI2024
velocidad de bomba de lavado	rinse pump rate	BI2024
madurez	ripeness	BI2024
Plan de gestión de riesgos	Risk Management Plan	BI2024
cociente de riesgos	risk ratio	en epidemiología)	BI2024
robustez	robustness	referido a un método)	BI2024
interruptor basculante	rocker switch	BI2024
rollo	roll	BI2024
temperatura ambiente	room temperature	BI2024
evaporador rotativo	rotary evaporator	BI2024
prensa rotativa	rotary press	BI2024
cuchilla giratoria	rotating blade	BI2024
platillo giratorio	rotating pan	BI2024
platillo giratorio	rotated pan	BI2024
higrómetro Rotronic	Rotronic hygrometer	BI2024
matraz de fondo redondo 	round-bottom flask	BI2024
matraz de fondo redondo 	round bottom flask	BI2024
sarcoma de Rous	Rous sarcoma 	BI2024
vía de eliminación	route of excretion	BI2024
procesamiento sistemático	routine processing	BI2024
analizada/o en un procedimiento de rutina	routinely analyzed	BI2024
distancia recorrida por la muestra	run distance	en HPLC)	BI2024
tiempo de ejecución	run time	BI2024
plazo de inclusión	run-in period	BI2024
período de inclusión	lead-in period	referido a los sujetos de un estudio clínico)	BI2024
período final de reposo farmacológico	run-out period	referido a un estudio clínico)	BI2024
seguridad 	safety 	BI2024
umbral de seguridad	safety concern threshold	BI2024
protector de seguridad	safety cover	de una jeringa)	BI2024
perfil de seguridad	safety profile	de los medicamentos)	BI2024
pruebas de seguridad	safety testing	BI2024
salmonella	salmonella	BI2024
muestra	sample 	BI2024
haz de lectura de la muestra	sample beam	espectrometría)	BI2024
blanco de muestra	sample blank	BI2024
obtención de muestras	sample collection	BI2024
tubo para toma de muestras	sample collection tube	BI2024
portamuestras	sample holder	BI2024
puerto de inducción de la muestra	sample induction port	BI2024
momento de muestreo	sample time point	BI2024
momento de muestreo	sampling time point	BI2024
frecuencia de muestreo	sampling rate	BI2024
estructura base 	scaffold structure	BI2024
adaptado a la escala de	scaled to	BI2024
proceso de incremento de escala 	scale-up	BI2024
partidas a escala comercial	scale-up batches	BI2024
piel descamada	scaly skin	BI2024
centellograma	scintillation	BI2024
cucharadas	scoops	BI2024
comprimido ranurado	scored tablet	BI2024
referido a un comprimido)	scoreline / break score	BI2024
ranura	break mark	referido a un comprimido)	BI2024
ranura	break bar	referido a un comprimido)	BI2024
ranura	breakline	referido a un comprimido)	BI2024
subjects)	screen	seleccionar (referido a estudios clínicos)	BI2024
prueba de detección de la carcinogenia	screening test for carcinogenicity	BI2024
frasco con tapa a rosca	screw-necked bottle	BI2024
mecha con punta roscada	screw-threaded spike	BI2024
tapa a rosca	screw-top 	referido a un frasco)	BI2024
envase de vidrio sellado	sealed glass container 	BI2024
precinto de seguridad	sealing	BI2024
junta selladora	sealing gasket	BI2024
selladora	sealing machine	BI2024
rinitis alérgica estacional	seasonal allergic rhinitis	BI2024
segunda generación 	second generation 	BI2024
amina secundaria	secondary amine	BI2024
criterio de valoración secundario 	secondary endpoint	BI2024
criterio de valoración secundario 	secondary end-point	BI2024
criterio de valoración secundario 	secondary outcome measure	BI2024
acondicionamiento secundario	secondary packaging	BI2024
tren de semillas	seed train	BI2024
sembrado	seeding 	BI2024
atrofia segmentaria	segmental atrophy	BI2024
selectividad	selectivity	BI2024
seleniato	seleniate	BI2024
selenio	selenium	BI2024
to be)	self-sustained	autosustentado/a 	BI2024
sensible al calor	sensitive to heat 	BI2024
sensible a la humedad 	sensitive to humidity  	BI2024
recuperación de la sensibilidad	sensitivity recovery	BI2024
embudo de decantación	separating funnel	BI2024
número de serie	serial number	BI2024
evento adverso grave	serious adverse event	BI2024
reacción adversa grave	serious adverse reaction	BI2024
efecto secundario grave	serious side effect	BI2024
seroalbúmina 	serum albumin 	BI2024
concentración sérica	serum level	BI2024
medio de cultivo celular libre de suero y con bajo contenido de proteínas	serum-free, low-protein cell culture media	BI2024
aceite de sésamo 	sesame oil 	BI2024
sesquihidrato	sesquihydrate	BI2024
grave	severe	referido a una patología o a una herida)	BI2024
intenso/a, fuerte	severe	dolor), avanzado/a (también de una enfermedad)	BI2024
evento adverso considerable	severe adverse event	BI2024
intenso	severe adverse event	BI2024
puede ser: severo	severe adverse event	BI2024
reacción adversa considerable	severe adverse reaction	BI2024
intensa	severe adverse reaction	BI2024
puede ser: severa	severe adverse reaction	BI2024
(en) estado grave	severe condition	BI2024
efecto secundario considerable	severe side effect	BI2024
intenso	severe side effect	BI2024
puede ser: severo	severe side effect	BI2024
agitar	shake	BI2024
agitar	shaking	BI2024
platillo de balanza de vidrio de poca profundidad	shallow glass weighing dish	BI2024
recipiente para descartar agujas	sharps disposal container	BI2024
vida útil	shelf life	BI2024
vida útil	shelf life period	BI2024
recubrimiento	shell	de una cápsula)	BI2024
goma laca 	shellac	BI2024
caja para envíos	shipping box	BI2024
desabastecimiento	shortage	BI2024
disnea	shortness of breath 	BI2024
estudio paralelo de comparabilidad	side by side comparability study	BI2024
efecto secundario 	side effect	BI2024
reacción secundaria	side reaction	BI2024
comparación directa	side-by-side comparison	BI2024
análisis granulométrico	sieve analysis	BI2024
fracción tamizada	sieve fraction	BI2024
columnas formadas por los tamices	sieve stacks	BI2024
sílice 	silica	BI2024
gel de sílice 	silica gel	BI2024
placa de gel de sílice	silica gel plate	BI2024
sílice coloidal anhidro	Silica, colloidal anhydrous	BI2024
dióxido de silicio	silicon dioxide	BI2024
cloruro de plata	silver chloride	BI2024
haz simple	single beam	espectrometría)	BI2024
dosis única	single dose	BI2024
única dosis	single dose	BI2024
isómero simple	single isomer 	BI2024
estudio ciego	single-blind study	BI2024
centro	site	referido a investigación clínica)	BI2024
inflamación de la piel	skin inflammation	BI2024
ligeramente soluble	slightly soluble	BI2024
ranura	slit	referido a la celda de matriz de fotodiodos del cromatógrafo)	BI2024
suspensión	slurry	en química)	BI2024
carcinoma microcítico de pulmón	small-cell lung cancer 	BI2024
frotis	smear	BI2024
cierre a presión	snap fit	BI2024
Sociedad anónima	Società per azioni  [S.p.A.] 	Società per azioni)  [S.p.A.] 	BI2024
dodecil sulfato de sodio	sodium dodecyl sulphate	BI2024
fluoruro de sodio	sodium fluoride	BI2024
hidrogenocarbonato de sodio	sodium hydrogen carbonate	BI2024
selenito de sodio	sodium selenite	BI2024
almidón glicolato sódico	sodium starch glycolate	BI2024
sulfuro de sodio	sodium sulphide	BI2024
taurocolato de sodio	sodium taurocholate	BI2024
ablandar	soften	BI2024
blanda/o	soft-tempered	referido a las láminas de aluminio)	BI2024
efecto solubilizante	solubilizing effect	BI2024
forma soluble 	soluble form 	BI2024
factor tisular soluble 	soluble tissue factor 	BI2024
solución para inhalación	solution for inhalation	BI2024
solución inyectable	solution for injection	BI2024
disolvente	solvent	BI2024
blanco de disolvente	solvent blank	BI2024
disolvente para reconstitución	solvent for reconstitution	BI2024
mezcla de disolventes	solvent mixture  	BI2024
tamizadora sónica 	sonic sifter	BI2024
exponer a ultrasonido	sonicate	BI2024
sorbitol	sorbitol	BI2024
sorción	sorption	BI2024
caldo digerido de caseína-soja 	soybean casein digest broth 	BI2024
espaciador	spacer 	BI2024
límite de la especificación 	specification limit	BI2024
especificidad	specificity	BI2024
sin agentes patógenos especificados	specified pathogen free	BI2024
rango del espectro	spectral range	referido a espectrofotometría)	BI2024
región espectral	spectral region	referido a espectrofotometría)	BI2024
espectrofotometría	spectrophotometry	BI2024
espectro	spectrum 	referido a espectrofotometría)	BI2024
gráfico del índice del espectro	spectrum index plot	referido a espectrofotometría)	BI2024
enriquecer	spike 	utilizar sólo si refiere a agregar más de un elemento que ya es parte de un compuesto)	BI2024
agregar	spike 	BI2024
nivel de enriquecimiento  	spike level	BI2024
matraz giratorio	spinner flask	BI2024
espirometría 	spirometry	BI2024
división de flujo	split	referido a cromatografía)	BI2024
inserto para división de flujo	split liner	BI2024
fraccionamiento	splitting	BI2024
patrocinador	sponsor	BI2024
tiras de esporas	spore strips	BI2024
inspección al azar 	spot check	BI2024
aerosol	spray	sustantivo)	BI2024
rociar - pulverizar	spray	verbo)	BI2024
proceso de secado por rociado	spray drying process 	BI2024
reactivo en aerosol	spray reagent	BI2024
suspensión de rociado	spraying suspension	BI2024
fuerza de resorte	spring force	BI2024
carcinoma de células escamosas 	squamous cell carcinoma	BI2024
receptor ß2 adrenérgico	ß2-adrenergic receptor	BI2024
estabilidad	stability 	BI2024
perfil de estabilidad	stability profile	BI2024
protocolo de estabilidad	stability protocol	BI2024
muestras para análisis de estabilidad	stability samples	BI2024
resumen y conclusiones sobre estabilidad	stability summary and conclusions	BI2024
pruebas de estabilidad	stability testing	BI2024
pruebas de estabilidad de productos y principios activos nuevos	stability testing of new drug substances and products	BI2024
fase escalonada	staircase phase	BI2024
método estándar de adición	standard addition method	BI2024
disolución estándar de adición	standard addition solution	BI2024
desviación estándar	standard deviation	referencia: estadística)	BI2024
disolución estándar	standard dilution	BI2024
error estándar	standard error	BI2024
error estándar de la media	standard error of the mean	BI2024
Procedimiento operativo estándar	Standard Operating Procedure	BI2024
disolución estándar	standard solution	BI2024
consulta normalizada del MedDRA	standardised MedDra query	BI2024
Consultas normalizadas de búsqueda	standardised search queries	del MedDRA)	BI2024
Escala de somnolencia de Stanford	Stanford Sleepiness Scale	BI2024
Staphylococcus aureus	Staphylococcus aureus	BI2024
almidón	starch	BI2024
gránulos de partida	starter pellet	BI2024
material inicial	starting material	BI2024
estado estacionario	steady state	referido a la administración de un producto por vía intravenosa)	BI2024
equilibrio	steady state	referido a la administración de un producto por vía oral)	BI2024
ácido esteárico	stearic acid	BI2024
vástago	stem	BI2024
estereoisómero	stereo isomer	BI2024
estructura estereoquímica	stereochemical structure	de un principio activo)	BI2024
filtro estéril	sterile filter	BI2024
ciclo de esterilización 	sterilizing cycle	BI2024
síndrome de Stevens-Johnson	Stevens-Johnson syndrome	BI2024
alambique	still	BI2024
revolver	stir	BI2024
agitar 	stir	BI2024
revolver a mano	stir by hand	BI2024
agitar a mano	stir by hand	BI2024
placa agitadora	stirrer plate	BI2024
velocidad del agitador 	stirrer speed	BI2024
barra de agitación magnética	stirring bar	BI2024
período de agitación	stirring time	BI2024
solución madre	stock solution 	BI2024
solución estándar madre	stock standard solution	BI2024
detención de deriva	stop drift	BI2024
condiciones del almacenamiento	storage conditions	BI2024
recomendaciones para el almacenamiento 	storage recommendations	BI2024
mantener en lugar seco	store in a dry place	BI2024
cepa	strain	BI2024
condiciones extremas	stress conditions	BI2024
en condiciones extremas	under stress conditions	BI2024
medios líquidos de condiciones extremas	stress liquid media	BI2024
