------- 1 - Términos	BI2024
particulate contamination	contaminación por partículas	BI2024
particulate matter	partículas 	BI2024
partition coefficient	coeficiente de reparto 	BI2024
parts per million 	partes por millón 	BI2024
path length	longitud de recorrido	BI2024
pathogen	patógeno	BI2024
pathogenesis	patogenia	BI2024
pathogenic	patogénico	BI2024
pathological hypersecretory conditions	trastornos hipersecretorios patológicos	BI2024
pathophysiology	fisiopatología	BI2024
patient analysis sets	grupos de análisis de pacientes	BI2024
patient information leaflet	folleto para el paciente	BI2024
patient-years	años-paciente	BI2024
peak area	área del pico	BI2024
peak area response	respuesta del área del pico	BI2024
peak flank	flanco del pico	BI2024
peak levels	concentraciones máximas	BI2024
peak resolution 	resolución del pico	BI2024
Pearson correlation coefficient	coeficiente de correlación de Pearson	BI2024
peg mill 	molino de paletas	BI2024
pellet	gránulo	BI2024
penicillin-streptomycin [pen/strep]	penicilina	BI2024
penicillin-streptomycin [pen/strep]	estreptomicina 	BI2024
pentobarbital sodium	pentobarbital sódico	BI2024
peppermint oil	aceite esencial de menta piperita	BI2024
pepstatin	pepstatina	BI2024
per os [p.o.]	por vía oral [v.o.]	BI2024
percent fines	porcentaje de materiales finos	BI2024
percentile	percentil	BI2024
percutaneous coronary intervention	intervención coronaria percutánea	BI2024
perennial rhinitis	rinitis alérgica	BI2024
perfusion pump	bomba de perfusión	BI2024
Periodic Safety Update Report	Informe Periódico de Seguridad	BI2024
periods of nonuse	períodos de inactividad	BI2024
periods of non-use	períodos de inactividad	BI2024
non-use period	períodos de inactividad	BI2024
peripheral blood	sangre periférica	BI2024
permeability study	estudio de permeabilidad	BI2024
peroxidase	peroxidasa	BI2024
peroxide	peróxido	BI2024
perpetrator	perpetrador	BI2024
per-protocol analysis	análisis por protocolo	BI2024
persist	persistir	referido a síntomas)	BI2024
personnel involved	personal interviniente 	BI2024
Petri dish	placa de Petri	BI2024
P-glycoprotein	glycoproteína P	BI2024
P-glycoprotein inhibited rats	ratas con glycoproteína P inhibida	BI2024
pH meter	peachímetro	BI2024
pH-adjusted	ajustar a un determinado pH	BI2024
Pharmaceutical Inspection  Convention	Convención de Inspección Farmacéutica	BI2024
pharmaceutical product	producto farmacéutico	BI2024
pharmacodynamic	farmacodinámica	BI2024
pharmacodynamics	farmacodinamia	BI2024
pharmacokinetic data	datos farmacocinéticos	BI2024
pharmacokinetic parameters	parámetros farmacocinéticos 	BI2024
pharmacokinetics	farmacocinética	BI2024
pharmacology profiling	perfil farmacológico	BI2024
pharmacopoeial	calidad farmacopeica	BI2024
phase I clinical trial	ensayo clínico de fase I	BI2024
pH-dependent solubility	solubilidad dependiente del pH	BI2024
phenol moiety	fracción de fenol	BI2024
phenolphthalein	fenolftaleína	BI2024
phenylalanine	fenilalanina	BI2024
phenylketonuria 	fenilcetonuria 	BI2024
phosphate buffered saline	solución salina amortiguadora de fosfatos	BI2024
phosphodiesterase-4 inhibitor	inhibidor de la fosfodiesterasa-4 	BI2024
phosphorylated epidermal growth factor receptor 	receptor fosforilado del factor de crecimiento epidérmico 	BI2024
photodiode array	matriz de fotodiodos 	BI2024
photodiode array spectral scanning	barrido espectral de matriz de fotodiodos	BI2024
photo-induction	fotoinducción	BI2024
photo-irritation factor	factor de fotoirritación	BI2024
photoliths	fotolitos	BI2024
photometric determination	determinación fotométrica	BI2024
photostability	fotoestabilidad	BI2024
photostability testing	prueba de fotoestabilidad	BI2024
photostressed	sometido a condiciones extremas de luz	BI2024
physical and chemical parameters	parámetros físico-químicos  	BI2024
physical test	prueba física	BI2024
piercing device	perforadora	BI2024
piercing pain	dolor punzante	BI2024
pigment blend	mezcla de pigmentos	BI2024
pilfer-proof cap	tapa inviolable 	BI2024
pill	píldora	BI2024
piloerection	piloerección	BI2024
pioglitazone	pioglitazona	BI2024
piperidine	piperidina	BI2024
pipette	pipetear 	BI2024
pivotal study	estudio pivote	BI2024
placebo controlled 	comparativo con placebo	referido a estudios clínicos)	BI2024
placebo matching linagliptin	placebo del mismo aspecto que la linagliptina 	BI2024
plaque-forming units	unidades formadoras de placa	BI2024
plasma and hepatic esterases	esterasas hepáticas y plasmáticas	BI2024
plasma Membrane Monoamine Transporter	transportador de monoaminas por la membrana plasmática	BI2024
plasticizer	plastificante	de un comprimido)	BI2024
plate incorporation method	método de incorporación en placa	BI2024
plateau	meseta	de una curva)	BI2024
plateau level of effectiveness 	meseta de eficacia	BI2024
platelet aggregation	agregación plaquetaria	BI2024
platelet derived growth factor receptor	receptor del factor de crecimiento derivado de plaquetas	BI2024
platelet-poor plasma 	plasma con escasas plaquetas 	BI2024
platelet-rich plasma	plasma rico en plaquetas	BI2024
plating	preparación de cultivos en placas	BI2024
plethysmography	pletismografía	BI2024
plexus choroideus	plexos coroideos	BI2024
plunger rod	émbolo	de una jeringa)	BI2024
pneumatic mobile exit	descargador neumático móvil	BI2024
p-nitrophenylphosphate	p-nitrofenilfosfato	BI2024
point mutation	mutación puntual	BI2024
points per second [pt/sec]	puntos por segundo	BI2024
polarized light filter	filtro polarizador	BI2024
polishing	pulido	referido a comprimidos)	BI2024
polyethylene	polietileno	BI2024
polyethylene bags with binders 	bolsas de polietileno con precintos 	BI2024
polyethylene evident closure	cierre inviolable de polietileno	BI2024
polyethylene glycol	polietilenglicol	BI2024
polyethylene Whirl-Pak sample bag	bolsa Whirl-Pak de polietileno para toma de muestras 	BI2024
polymorphism screening	caracterización de polimorfos	BI2024
polymorphs	polimorfos	BI2024
polyol	poliol	BI2024
polyoxymethylene	polioximetileno	BI2024
polypropylene oligomers 	oligómeros de polipropileno 	BI2024
polysorbate	polisorbato	BI2024
polysorbate 20 	polisorbato 20 	BI2024
polystyrol	poliestireno	BI2024
polyvinyl chloride	policloruro de vinilo	BI2024
polyvinyl chloride forming foil	lámina cavitada de policloruro de vinilo	BI2024
PVC forming foil	lámina cavitada de PVC 	BI2024
polyvinyl chloride transparent foil	lámina transparente de policloruro de vinilo	BI2024
PVC transparent foil 	lámina transparente de PVC 	BI2024
pool	mezcla / unión / conjunto / grupo	BI2024
pool	reserva	BI2024
pool	depósito	BI2024
pooled analysis	análisis conjunto	BI2024
pooled solution	solución conjunta 	BI2024
porcelain dish	platillo de porcelana 	BI2024
pore size	tamaño del poro	BI2024
pore-forming agent	agente formador de poros 	BI2024
porosity G2 sintered glass immersion filter 	filtro de inmersión de vidrio sinterisado de porosidad G2	BI2024
positive precipitation test	prueba de precipitación positiva	BI2024
positive risk/benefit ratio	índice positivo de riesgo/beneficio	BI2024
Post-Approval Stability Protocol and Stability Commitment	Protocolo de estabilidad y compromisos de estabilidad posteriores a la aprobación	BI2024
post-treatment period	período posterior al tratamiento	BI2024
potassium iodide	yoduro de potasio	BI2024
potassium-dihydrogen phosphate	fosfato monobásico de potasio	BI2024
potential impurities 	impurezas potenciales	BI2024
potentiometric titration	valoración potenciométrica	BI2024
potentiometric titration method	método potenciométrico	BI2024
povidone	povidona	BI2024
powder flow	flujo del polvo	BI2024
precipitate	precipitar	BI2024
precipitation plate	placa de precipitación	BI2024
precision	precisión	BI2024
preclinical 	preclínico/a	referido a estudios clínicos)	BI2024
preclinical 	asintomático/a	referido a una enfermedad)	BI2024
precursor ion	ion precursor	en espectrometría de masas)	BI2024
progenitor ion	ion precursor	en espectrometría de masas)	BI2024
parent ion	ion precursor	en espectrometría de masas)	BI2024
prediction interval	intervalo de predicción	referido a estadística)	BI2024
pre-exercise	previo al ejercicio	BI2024
preferred term	término preferente	referido al MedDRA)	BI2024
pre-filled syringe	jeringa prellenada	BI2024
prefilled syringe	jeringa prellenada	BI2024
pregelatinized	pregelatinizado	BI2024
preincubation method	método de preincubación	BI2024
pre-morning dose	antes de la dosis matutina	BI2024
pre-packed	prellenada	referido a la columna de HPLC)	BI2024
preparing the feed	cómo preparar la toma	BI2024
pre-run volume	volumen previo a la ejecución	BI2024
prescription	receta	BI2024
prescription	prescripción médica	BI2024
preservative 	conservante	BI2024
preserved inhalation solution	solución para inhalación con conservantes	BI2024
pressing tool	prensa	BI2024
pressure drop	caída de presión	BI2024
pressurized aerosol	aerosol presurizado	BI2024
pre-treatment baseline	valor inicial previo al tratamiento	BI2024
previously treated patients	pacientes con tratamiento previo	BI2024
primary endpoint	criterio de valoración primario 	BI2024
primary end-point	criterio de valoración primario 	BI2024
primary outcome measure	criterio de valoración primario 	BI2024
primary packaging	acondicionamiento primario	BI2024
primary packaging components	componentes del acondicionamiento primario	BI2024
primary stability studies	estudios de estabilidad primaria	BI2024
primary venous thromboembolism prevention 	prevención primaria de la tromboembolia venosa 	BI2024
prime	cebar	BI2024
prime	limpiar 	BI2024
probability distribution	distribución probabilística 	BI2024
process controls	controles del proceso	BI2024
process data	datos del proceso	BI2024
process engineering	ingeniería de procesos 	BI2024
process impurity	impureza resultante del proceso	BI2024
Process Performance Qualification	Calificación del funcionamiento del proceso	BI2024
process validation scheme	esquema de validación del proceso	BI2024
processing aid	coadyuvante de elaboración	BI2024
processing method	método de procesamiento	BI2024
prodrug	profármaco	BI2024
product composition identification	identificación de la composición del producto	BI2024
product data sheet	ficha técnica	BI2024
product documentation sheet	ficha técnica	BI2024
product leaflet	prospecto	BI2024
product insert 	prospecto	BI2024
production cell line	línea celular de producción 	BI2024
production culture	cultivo de producción	BI2024
pro-fibrotic pathways	vías profibróticas	BI2024
proinflammatory cytokines 	citocinas proinflamatorias 	BI2024
pro-inflammatory pathways	vías proinflamatorias  	BI2024
proliferation of microorganisms	proliferación de microorganismos	BI2024
propellant-free	sin propelentes	BI2024
Property of Boehringer Ingelheim - treat confidentially	Propiedad de Boehringer lngelheim - Confidencial	BI2024
proposed acceptance criteria	criterios de aceptación propuestos 	BI2024
proposed commercial manufacturing process	proceso de fabricación comercial propuesto	BI2024
Proprietary confidential information. Copyright 2009 Boehringer Ingelheim International GmbH or one or more of its affiliated companies. All rights reserved.	Información confidencial protegida por derechos de propiedad intelectual. © 2024 Boehringer Ingelheim International GmbH o sus empresas afiliadas. Todos los derechos reservados.	BI2024
propylene glycol	propilenglicol 	BI2024
propylhydroxybenzoate	hidroxibenzoato de propilo	BI2024
protective packaging 	envase protector	BI2024
protein binding displacement interactions	interacciones de desplazamiento durante la unión a las proteínas	BI2024
protein concentration by UV-scan	concentración de proteínas por barrido UV	BI2024
prothrombin fragment	fragmento de protrombina	BI2024
prothrombin time	tiempo de protrombina	BI2024
proton pump inhibitor	inhibidor de la bomba de protones	BI2024
proton-carbon heteronuclear multiple-bond correlation	correlación heteronuclear de enlaces múltiples entre protones y carbono	BI2024
Psoriasis Area and Severity Index for Generalized Pustular Psoriasis [GPPASI 75]	Índice de la severidad del área de psoriasis pustulosa generalizada [GPPASI 75]	BI2024
Psoriasis Symptom Scale score	puntuación de la Escala de síntomas de psoriasis	BI2024
PSS score	puntuación de la Escala de síntomas de psoriasis	BI2024
pull date	fecha de muestreo	BI2024
pulmonary embolism	embolia pulmonar	BI2024
pulmonary function testing	examen de la función pulmonar	BI2024
pulmonary medication	medicación pulmonar	BI2024
pulp	pulpa	BI2024
pulse width	ancho del pulso	BI2024
pump	bomba	BI2024
pump rate	velocidad de bombeo	BI2024
punch surface	punzón	BI2024
purchase order	orden de compra	BI2024
purified water	agua purificada	BI2024
push-through blister	blíster de apertura a presión	BI2024
pustular clearance	aclaramiento pustular 	BI2024
pustulation sub score 	subpuntuación de pustulación 	BI2024
pyridoxine hydrochloride	clorhidrato de piridoxina	BI2024
pyrolysis	pirólisis	BI2024
pyruvate	piruvato	BI2024
qualified person	personal idóneo	BI2024
qualified person	director técnico	si se tiene esa información)	BI2024
qualitative and quantitative composition	composición cuali-cuantitativa	BI2024
Quality and Records Management	Gestión de Registros y Gestión de Calidad	Quality and Records Management) 	BI2024
quality assurance	aseguramiento de la calidad	BI2024
quality control	control de calidad	BI2024
Quality Management	Gestión de calidad	Quality Management)	BI2024
quantitation limit	límite de cuantificación	BI2024
quantitative	cuantitativo	BI2024
quantitative composition	composición cuantitativa	BI2024
quartet  	cuádruple   	referido a espectroscopía)	BI2024
quinazoline	quinazolina	BI2024
rack section	sector de soporte	BI2024
radiochemical purity	pureza radioquímica	BI2024
radiolabelled	radiomarcado	BI2024
radioligand	radioligando	BI2024
ramp	tasa de calentamiento	cromatografía)	BI2024
randomised clinical study	estudio clínico aleatorizado	BI2024
randomized clinical study	estudio clínico aleatorizado	BI2024
range 	rango	BI2024
rank order correlation	correlación por rangos	BI2024
rapid moisture tester	evaluador rápido de humedad	BI2024
rare disease	enfermedad rara	BI2024
rasp screen	tamiz de rejilla	BI2024
rat	rata	BI2024
rate controlling polymer	polímero que controla la velocidad de liberación	BI2024
ratio signal	relación señal	BI2024
noise	ruido	BI2024
raw data 	datos preliminares	BI2024
raw data storage 	archivo de datos preliminares	BI2024
raw materials	materia prima	BI2024
reaction of sulphates	reacción de sulfatos	BI2024
reaction rate	velocidad de reacción	BI2024
reactive metabolite intermediates	metabolitos intermedios reactivos	BI2024
read step	paso de lectura	BI2024
reading step	paso de lectura	BI2024
readily carbonisable substances	sustancias fácilmente carbonizables	BI2024
ready to use infusion bags	bolsas de infusión listas para usar 	BI2024
reaeration	reaireación	referido a un compuesto)	BI2024
rear	criar	BI2024
rebranding program	programa de renovación de imagen	BI2024
receptor binding assay	análisis de fijación a receptores	BI2024
recommended daily allowance	cantidades diarias recomendadas	BI2024
recommended dose	dosis recomendada	BI2024
reconditioning time 	tiempo de reacondicionamiento 	BI2024
reconstitution time	tiempo de reconsitución	BI2024
records log book	cuaderno de registros	BI2024
recovery [recov.]	recuperación [recup.]	BI2024
recruitment	identificación, búsqueda, selección e incorporación	de los sujetos para participar en un estudio clínico)	BI2024
recruitment goal	objetivo de inclusión	referido a los sujetos de un estudio clínico)	BI2024
recruitment period	plazo de inclusión	BI2024
recruitment period	período de inclusión	referido a los sujetos de un estudio clínico)	BI2024
recurring flares	brotes agudos recurrentes 	BI2024
red blood cells	glóbulos rojos	BI2024
red cell mass	masa eritrocitaria	BI2024
red iron oxide	óxido de hierro rojo	BI2024
red-brown	castaño rojizo	BI2024
redness	enrojecimiento	BI2024
reducing – carboxymethylation steps	etapas de reducción – carboximetilación	referido al almacenamiento de las muestras) 	BI2024
reducing agent	agente de reducción	BI2024
reel	carretel	de un rollo)	BI2024
re-equilibration time	tiempo de reequilibrado	BI2024
reference spectrum	espectro de referencia	BI2024
reference standard 	estándar de referencia 	BI2024
reference substance	sustancia de referencia	BI2024
reflux oesophagitis	reflujo esofágico	BI2024
refractive index	índice de refracción	BI2024
refrigerator	refrigerador	BI2024
regioisomer	isómero posicional	BI2024
register	registrar	un producto)	BI2024
registered office	sede social	de la compañía)	BI2024
registration testing specification	especificación analítica para registro	BI2024
regression	regresión	en estadística)	BI2024
Regulatory Affairs	Asuntos Regulatorios	BI2024
relative excretion	eliminación relativa	BI2024
relative humidity [r.h.]	humedad relativa [h.r.]	BI2024
relative humidity	humedad relativa	BI2024
relative retention time	tiempo de retención relativo	BI2024
relative standard deviation	desviación estándar relativa	BI2024
relative volume [V rel]	volumen relativo [vol. rel.]	BI2024
release 	liberar	por ejemplo, partidas)	BI2024
release-controlling polymer	polímero que controla la velocidad de liberación	BI2024
renal impairment	deterioro renal	BI2024
repeatability	repetibilidad	BI2024
repeat-dose study	estudio de dosis repetidas	BI2024
repeatibility testing	análisis de repetibilidad	BI2024
report	informe	BI2024
reportable result	resultado que debe informarse	BI2024
reporting level 	nivel de informe	BI2024
reporting threshold	umbral de informe	BI2024
reproducibility	reproducibilidad	BI2024
rescue medication	medicación de rescate	BI2024
research grade	grado de investigación	BI2024
residual catalyst	catalizador residual	BI2024
residual moisture	humedad residual	BI2024
residual solvents	disolventes residuales	BI2024
residual standard deviation	desviación estándar residual	BI2024
residual sum of squares	suma de los cuadrados debidos al error	BI2024
residue on ignition	residuo de ignición	BI2024
resistance mutation	mutación de resistencia 	BI2024
resolve	an infection)	se resuelve (una infección)	BI2024
resonance	resonancia	BI2024
Respimat locking mechanism	mecanismo de cierre Respimat	BI2024
Respimat Soft Mist	Respimat Soft Mist	BI2024
respiration rate	ritmo respiratorio	BI2024
respiration volume	volumen respiratorio	BI2024
respiratory tract	vías respiratorias	BI2024
respiratory tract infection	infección respiratoria 	BI2024
responsiveness	sensibilidad	a un medicamento)	BI2024
rest pain	dolor en reposo	BI2024
rest peaks	picos restantes	BI2024
resting energy expenditure	gasto energético en reposo	BI2024
resting membrane potential 	potencial de membrana en reposo	BI2024
restricted maximum likelihood	máxima similitud restringida	BI2024
result identification	código de identificación del resultado	BI2024
result-ID	código de identificación del resultado	BI2024
resume	e.g.: dosing should be resumed)	reanudar (por ejemplo: la administración debe reanudarse)	BI2024
retardation	retraso	BI2024
retention time  	tiempo de retención	BI2024
re-test period	período de repetición del análisis 	BI2024
retest period	período de repetición del análisis 	BI2024
retesting period	período de repetición del análisis 	BI2024
reticulum cell sarcoma	reticulosarcoma	BI2024
retrospective cohort study	estudio retrospectivo de cohortes	BI2024
reverse osmosis water	agua obtenida por ósmosis inversa	BI2024
reverse phase 	fase reversa	en cromatografía)	BI2024
reverse-phase gradient method	método de gradiente de fase reversa	en cromatografía)	BI2024
reversible inhibitor	inhibidor reversible	BI2024
rhabdomyolysis	rabdomiólisis	BI2024
riboflavin	riboflavina	BI2024
ribonucleic acid 	ácido ribonucleico 	BI2024
rinse pump rate	velocidad de bomba de lavado	BI2024
ripeness	madurez	BI2024
Risk Management Plan	Plan de gestión de riesgos	BI2024
risk ratio	cociente de riesgos	en epidemiología)	BI2024
robustness	robustez	referido a un método)	BI2024
rocker switch	interruptor basculante	BI2024
roll	rollo	BI2024
room temperature	temperatura ambiente	BI2024
rotary evaporator	evaporador rotativo	BI2024
rotary press	prensa rotativa	BI2024
rotating blade	cuchilla giratoria	BI2024
rotating pan	platillo giratorio	BI2024
rotated pan	platillo giratorio	BI2024
Rotronic hygrometer	higrómetro Rotronic	BI2024
round-bottom flask	matraz de fondo redondo 	BI2024
round bottom flask	matraz de fondo redondo 	BI2024
Rous sarcoma 	sarcoma de Rous	BI2024
route of excretion	vía de eliminación	BI2024
routine processing	procesamiento sistemático	BI2024
routinely analyzed	analizada/o en un procedimiento de rutina	BI2024
run distance	distancia recorrida por la muestra	en HPLC)	BI2024
run time	tiempo de ejecución	BI2024
run-in period	plazo de inclusión	BI2024
lead-in period	período de inclusión	referido a los sujetos de un estudio clínico)	BI2024
run-out period	período final de reposo farmacológico	referido a un estudio clínico)	BI2024
safety 	seguridad 	BI2024
safety concern threshold	umbral de seguridad	BI2024
safety cover	protector de seguridad	de una jeringa)	BI2024
safety profile	perfil de seguridad	de los medicamentos)	BI2024
safety testing	pruebas de seguridad	BI2024
salmonella	salmonella	BI2024
sample 	muestra	BI2024
sample beam	haz de lectura de la muestra	espectrometría)	BI2024
sample blank	blanco de muestra	BI2024
sample collection	obtención de muestras	BI2024
sample collection tube	tubo para toma de muestras	BI2024
sample holder	portamuestras	BI2024
sample induction port	puerto de inducción de la muestra	BI2024
sample time point	momento de muestreo	BI2024
sampling time point	momento de muestreo	BI2024
sampling rate	frecuencia de muestreo	BI2024
scaffold structure	estructura base 	BI2024
scaled to	adaptado a la escala de	BI2024
scale-up	proceso de incremento de escala 	BI2024
scale-up batches	partidas a escala comercial	BI2024
scaly skin	piel descamada	BI2024
scintillation	centellograma	BI2024
scoops	cucharadas	BI2024
scored tablet	comprimido ranurado	BI2024
scoreline / break score	referido a un comprimido)	BI2024
break mark	ranura	referido a un comprimido)	BI2024
break bar	ranura	referido a un comprimido)	BI2024
breakline	ranura	referido a un comprimido)	BI2024
screen	subjects)	seleccionar (referido a estudios clínicos)	BI2024
screening test for carcinogenicity	prueba de detección de la carcinogenia	BI2024
screw-necked bottle	frasco con tapa a rosca	BI2024
screw-threaded spike	mecha con punta roscada	BI2024
screw-top 	tapa a rosca	referido a un frasco)	BI2024
sealed glass container 	envase de vidrio sellado	BI2024
sealing	precinto de seguridad	BI2024
sealing gasket	junta selladora	BI2024
sealing machine	selladora	BI2024
seasonal allergic rhinitis	rinitis alérgica estacional	BI2024
second generation 	segunda generación 	BI2024
secondary amine	amina secundaria	BI2024
secondary endpoint	criterio de valoración secundario 	BI2024
secondary end-point	criterio de valoración secundario 	BI2024
secondary outcome measure	criterio de valoración secundario 	BI2024
secondary packaging	acondicionamiento secundario	BI2024
seed train	tren de semillas	BI2024
seeding 	sembrado	BI2024
segmental atrophy	atrofia segmentaria	BI2024
selectivity	selectividad	BI2024
seleniate	seleniato	BI2024
selenium	selenio	BI2024
self-sustained	to be)	autosustentado/a 	BI2024
sensitive to heat 	sensible al calor	BI2024
sensitive to humidity  	sensible a la humedad 	BI2024
sensitivity recovery	recuperación de la sensibilidad	BI2024
separating funnel	embudo de decantación	BI2024
serial number	número de serie	BI2024
serious adverse event	evento adverso grave	BI2024
serious adverse reaction	reacción adversa grave	BI2024
serious side effect	efecto secundario grave	BI2024
serum albumin 	seroalbúmina 	BI2024
serum level	concentración sérica	BI2024
serum-free, low-protein cell culture media	medio de cultivo celular libre de suero y con bajo contenido de proteínas	BI2024
sesame oil 	aceite de sésamo 	BI2024
sesquihydrate	sesquihidrato	BI2024
severe	grave	referido a una patología o a una herida)	BI2024
severe	intenso/a, fuerte	dolor), avanzado/a (también de una enfermedad)	BI2024
severe adverse event	evento adverso considerable	BI2024
severe adverse event	intenso	BI2024
severe adverse event	puede ser: severo	BI2024
severe adverse reaction	reacción adversa considerable	BI2024
severe adverse reaction	intensa	BI2024
severe adverse reaction	puede ser: severa	BI2024
severe condition	(en) estado grave	BI2024
severe side effect	efecto secundario considerable	BI2024
severe side effect	intenso	BI2024
severe side effect	puede ser: severo	BI2024
shake	agitar	BI2024
shaking	agitar	BI2024
shallow glass weighing dish	platillo de balanza de vidrio de poca profundidad	BI2024
sharps disposal container	recipiente para descartar agujas	BI2024
shelf life	vida útil	BI2024
shelf life period	vida útil	BI2024
shell	recubrimiento	de una cápsula)	BI2024
shellac	goma laca 	BI2024
shipping box	caja para envíos	BI2024
shortage	desabastecimiento	BI2024
shortness of breath 	disnea	BI2024
side by side comparability study	estudio paralelo de comparabilidad	BI2024
side effect	efecto secundario 	BI2024
side reaction	reacción secundaria	BI2024
side-by-side comparison	comparación directa	BI2024
sieve analysis	análisis granulométrico	BI2024
sieve fraction	fracción tamizada	BI2024
sieve stacks	columnas formadas por los tamices	BI2024
silica	sílice 	BI2024
silica gel	gel de sílice 	BI2024
silica gel plate	placa de gel de sílice	BI2024
Silica, colloidal anhydrous	sílice coloidal anhidro	BI2024
silicon dioxide	dióxido de silicio	BI2024
silver chloride	cloruro de plata	BI2024
single beam	haz simple	espectrometría)	BI2024
single dose	dosis única	BI2024
single dose	única dosis	BI2024
single isomer 	isómero simple	BI2024
single-blind study	estudio ciego	BI2024
site	centro	referido a investigación clínica)	BI2024
skin inflammation	inflamación de la piel	BI2024
slightly soluble	ligeramente soluble	BI2024
slit	ranura	referido a la celda de matriz de fotodiodos del cromatógrafo)	BI2024
slurry	suspensión	en química)	BI2024
small-cell lung cancer 	carcinoma microcítico de pulmón	BI2024
smear	frotis	BI2024
snap fit	cierre a presión	BI2024
Società per azioni  [S.p.A.] 	Sociedad anónima	Società per azioni)  [S.p.A.] 	BI2024
sodium dodecyl sulphate	dodecil sulfato de sodio	BI2024
sodium fluoride	fluoruro de sodio	BI2024
sodium hydrogen carbonate	hidrogenocarbonato de sodio	BI2024
sodium selenite	selenito de sodio	BI2024
sodium starch glycolate	almidón glicolato sódico	BI2024
sodium sulphide	sulfuro de sodio	BI2024
sodium taurocholate	taurocolato de sodio	BI2024
soften	ablandar	BI2024
soft-tempered	blanda/o	referido a las láminas de aluminio)	BI2024
solubilizing effect	efecto solubilizante	BI2024
soluble form 	forma soluble 	BI2024
soluble tissue factor 	factor tisular soluble 	BI2024
solution for inhalation	solución para inhalación	BI2024
solution for injection	solución inyectable	BI2024
solvent	disolvente	BI2024
solvent blank	blanco de disolvente	BI2024
solvent for reconstitution	disolvente para reconstitución	BI2024
solvent mixture  	mezcla de disolventes	BI2024
sonic sifter	tamizadora sónica 	BI2024
sonicate	exponer a ultrasonido	BI2024
sorbitol	sorbitol	BI2024
sorption	sorción	BI2024
soybean casein digest broth 	caldo digerido de caseína-soja 	BI2024
spacer 	espaciador	BI2024
specification limit	límite de la especificación 	BI2024
specificity	especificidad	BI2024
specified pathogen free	sin agentes patógenos especificados	BI2024
spectral range	rango del espectro	referido a espectrofotometría)	BI2024
spectral region	región espectral	referido a espectrofotometría)	BI2024
spectrophotometry	espectrofotometría	BI2024
spectrum 	espectro	referido a espectrofotometría)	BI2024
spectrum index plot	gráfico del índice del espectro	referido a espectrofotometría)	BI2024
spike 	enriquecer	utilizar sólo si refiere a agregar más de un elemento que ya es parte de un compuesto)	BI2024
spike 	agregar	BI2024
spike level	nivel de enriquecimiento  	BI2024
spinner flask	matraz giratorio	BI2024
spirometry	espirometría 	BI2024
split	división de flujo	referido a cromatografía)	BI2024
split liner	inserto para división de flujo	BI2024
splitting	fraccionamiento	BI2024
sponsor	patrocinador	BI2024
spore strips	tiras de esporas	BI2024
spot check	inspección al azar 	BI2024
spray	aerosol	sustantivo)	BI2024
spray	rociar - pulverizar	verbo)	BI2024
spray drying process 	proceso de secado por rociado	BI2024
spray reagent	reactivo en aerosol	BI2024
spraying suspension	suspensión de rociado	BI2024
spring force	fuerza de resorte	BI2024
squamous cell carcinoma	carcinoma de células escamosas 	BI2024
ß2-adrenergic receptor	receptor ß2 adrenérgico	BI2024
stability 	estabilidad	BI2024
stability profile	perfil de estabilidad	BI2024
stability protocol	protocolo de estabilidad	BI2024
stability samples	muestras para análisis de estabilidad	BI2024
stability summary and conclusions	resumen y conclusiones sobre estabilidad	BI2024
stability testing	pruebas de estabilidad	BI2024
stability testing of new drug substances and products	pruebas de estabilidad de productos y principios activos nuevos	BI2024
staircase phase	fase escalonada	BI2024
standard addition method	método estándar de adición	BI2024
standard addition solution	disolución estándar de adición	BI2024
standard deviation	desviación estándar	referencia: estadística)	BI2024
standard dilution	disolución estándar	BI2024
standard error	error estándar	BI2024
standard error of the mean	error estándar de la media	BI2024
Standard Operating Procedure	Procedimiento operativo estándar	BI2024
standard solution	disolución estándar	BI2024
standardised MedDra query	consulta normalizada del MedDRA	BI2024
standardised search queries	Consultas normalizadas de búsqueda	del MedDRA)	BI2024
Stanford Sleepiness Scale	Escala de somnolencia de Stanford	BI2024
Staphylococcus aureus	Staphylococcus aureus	BI2024
starch	almidón	BI2024
starter pellet	gránulos de partida	BI2024
starting material	material inicial	BI2024
steady state	estado estacionario	referido a la administración de un producto por vía intravenosa)	BI2024
steady state	equilibrio	referido a la administración de un producto por vía oral)	BI2024
stearic acid	ácido esteárico	BI2024
stem	vástago	BI2024
stereo isomer	estereoisómero	BI2024
stereochemical structure	estructura estereoquímica	de un principio activo)	BI2024
sterile filter	filtro estéril	BI2024
sterilizing cycle	ciclo de esterilización 	BI2024
Stevens-Johnson syndrome	síndrome de Stevens-Johnson	BI2024
still	alambique	BI2024
stir	revolver	BI2024
stir	agitar 	BI2024
stir by hand	revolver a mano	BI2024
stir by hand	agitar a mano	BI2024
stirrer plate	placa agitadora	BI2024
stirrer speed	velocidad del agitador 	BI2024
stirring bar	barra de agitación magnética	BI2024
stirring time	período de agitación	BI2024
stock solution 	solución madre	BI2024
stock standard solution	solución estándar madre	BI2024
stop drift	detención de deriva	BI2024
storage conditions	condiciones del almacenamiento	BI2024
storage recommendations	recomendaciones para el almacenamiento 	BI2024
store in a dry place	mantener en lugar seco	BI2024
strain	cepa	BI2024
stress conditions	condiciones extremas	BI2024
under stress conditions	en condiciones extremas	BI2024
stress liquid media	medios líquidos de condiciones extremas	BI2024
